Plot	Plot_bexis	Function_Name	Function_Year	Value	Year	Dataset_ID	Dataset_Version
HEW35	HEW35	aboveground_C	aboveground_C	165.5533196	4444	4444	4444
AEW44	AEW44	aboveground_C	aboveground_C	81.36230812	4444	4444	4444
HEW04	HEW4	aboveground_C	aboveground_C	10.14151354	4444	4444	4444
HEW07	HEW7	aboveground_C	aboveground_C	156.7093693	4444	4444	4444
HEW17	HEW17	aboveground_C	aboveground_C	52.84594487	4444	4444	4444
AEW43	AEW43	aboveground_C	aboveground_C	101.8667238	4444	4444	4444
AEW23	AEW23	aboveground_C	aboveground_C	132.3496266	4444	4444	4444
AEW12	AEW12	aboveground_C	aboveground_C	135.8887292	4444	4444	4444
SEW22	SEW22	aboveground_C	aboveground_C	88.45875792	4444	4444	4444
AEW22	AEW22	aboveground_C	aboveground_C	141.1152076	4444	4444	4444
AEW42	AEW42	aboveground_C	aboveground_C	111.0222388	4444	4444	4444
HEW12	HEW12	aboveground_C	aboveground_C	239.1106843	4444	4444	4444
SEW11	SEW11	aboveground_C	aboveground_C	93.18808423	4444	4444	4444
AEW41	AEW41	aboveground_C	aboveground_C	164.9983001	4444	4444	4444
AEW10	AEW10	aboveground_C	aboveground_C	119.1163064	4444	4444	4444
HEW21	HEW21	aboveground_C	aboveground_C	185.8683983	4444	4444	4444
HEW34	HEW34	aboveground_C	aboveground_C	174.1141188	4444	4444	4444
AEW20	AEW20	aboveground_C	aboveground_C	160.4203882	4444	4444	4444
AEW09	AEW9	aboveground_C	aboveground_C	156.5707939	4444	4444	4444
SEW09	SEW9	aboveground_C	aboveground_C	267.0447073	4444	4444	4444
AEW19	AEW19	aboveground_C	aboveground_C	128.5856055	4444	4444	4444
HEW40	HEW40	aboveground_C	aboveground_C	189.3834052	4444	4444	4444
AEW49	AEW49	aboveground_C	aboveground_C	86.36150385	4444	4444	4444
HEW29	HEW29	aboveground_C	aboveground_C	156.8682881	4444	4444	4444
HEW49	HEW49	aboveground_C	aboveground_C	136.1266803	4444	4444	4444
HEW19	HEW19	aboveground_C	aboveground_C	170.6962335	4444	4444	4444
AEW48	AEW48	aboveground_C	aboveground_C	133.6840218	4444	4444	4444
HEW08	HEW8	aboveground_C	aboveground_C	140.437668	4444	4444	4444
HEW18	HEW18	aboveground_C	aboveground_C	92.73562936	4444	4444	4444
AEW47	AEW47	aboveground_C	aboveground_C	131.2586717	4444	4444	4444
SEW37	SEW37	aboveground_C	aboveground_C	169.3537608	4444	4444	4444
SEW27	SEW27	aboveground_C	aboveground_C	180.7668968	4444	4444	4444
AEW37	AEW37	aboveground_C	aboveground_C	62.51081177	4444	4444	4444
SEW36	SEW36	aboveground_C	aboveground_C	138.3015147	4444	4444	4444
SEW26	SEW26	aboveground_C	aboveground_C	145.926018	4444	4444	4444
SEW16	SEW16	aboveground_C	aboveground_C	108.7344939	4444	4444	4444
HEW06	HEW6	aboveground_C	aboveground_C	225.4357601	4444	4444	4444
HEW36	HEW36	aboveground_C	aboveground_C	150.9075739	4444	4444	4444
AEW45	AEW45	aboveground_C	aboveground_C	43.65943463	4444	4444	4444
SEW45	SEW45	aboveground_C	aboveground_C	238.9115512	4444	4444	4444
AEW24	AEW24	aboveground_C	aboveground_C	61.58812796	4444	4444	4444
SEW35	SEW35	aboveground_C	aboveground_C	119.8581356	4444	4444	4444
AEW34	AEW34	aboveground_C	aboveground_C	109.3964716	4444	4444	4444
AEW40	AEW40	aboveground_C	aboveground_C	149.7122497	4444	4444	4444
AEW02	AEW2	aboveground_C	aboveground_C	123.7478056	4444	4444	4444
SEW23	SEW23	aboveground_C	aboveground_C	136.8270351	4444	4444	4444
SEW13	SEW13	aboveground_C	aboveground_C	139.9629734	4444	4444	4444
HEW44	HEW44	aboveground_C	aboveground_C	27.55529109	4444	4444	4444
HEW13	HEW13	aboveground_C	aboveground_C	119.7405734	4444	4444	4444
SEW12	SEW12	aboveground_C	aboveground_C	84.47362651	4444	4444	4444
HEW43	HEW43	aboveground_C	aboveground_C	27.34841828	4444	4444	4444
HEW09	HEW9	aboveground_C	aboveground_C	158.9536928	4444	4444	4444
SEW32	SEW32	aboveground_C	aboveground_C	67.85798774	4444	4444	4444
AEW21	AEW21	aboveground_C	aboveground_C	120.3762731	4444	4444	4444
HEW31	HEW31	aboveground_C	aboveground_C	133.0991485	4444	4444	4444
HEW01	HEW1	aboveground_C	aboveground_C	176.9384987	4444	4444	4444
HEW38	HEW38	aboveground_C	aboveground_C	185.3635922	4444	4444	4444
HEW51	HEW51	aboveground_C	aboveground_C	NA	4444	4444	4444
AEW30	AEW30	aboveground_C	aboveground_C	107.9890873	4444	4444	4444
SEW40	SEW40	aboveground_C	aboveground_C	119.7141192	4444	4444	4444
SEW50	SEW50	aboveground_C	aboveground_C	191.5171596	4444	4444	4444
HEW50	HEW50	aboveground_C	aboveground_C	106.0620757	4444	4444	4444
HEW20	HEW20	aboveground_C	aboveground_C	195.214667	4444	4444	4444
SEW49	SEW49	aboveground_C	aboveground_C	83.75286956	4444	4444	4444
SEW02	SEW2	aboveground_C	aboveground_C	116.5180628	4444	4444	4444
SEW29	SEW29	aboveground_C	aboveground_C	113.7073162	4444	4444	4444
HEW39	HEW39	aboveground_C	aboveground_C	168.0224637	4444	4444	4444
SEW18	SEW18	aboveground_C	aboveground_C	122.7288306	4444	4444	4444
SEW28	SEW28	aboveground_C	aboveground_C	127.9008576	4444	4444	4444
SEW14	SEW14	aboveground_C	aboveground_C	85.49648274	4444	4444	4444
SEW17	SEW17	aboveground_C	aboveground_C	119.6093116	4444	4444	4444
SEW07	SEW7	aboveground_C	aboveground_C	236.7383545	4444	4444	4444
SEW03	SEW3	aboveground_C	aboveground_C	123.3694115	4444	4444	4444
HEW37	HEW37	aboveground_C	aboveground_C	187.2385231	4444	4444	4444
SEW06	SEW6	aboveground_C	aboveground_C	85.97711925	4444	4444	4444
SEW30	SEW30	aboveground_C	aboveground_C	117.4709465	4444	4444	4444
SEW33	SEW33	aboveground_C	aboveground_C	134.3497048	4444	4444	4444
SEW19	SEW19	aboveground_C	aboveground_C	65.65928818	4444	4444	4444
SEW05	SEW5	aboveground_C	aboveground_C	161.7793681	4444	4444	4444
HEW05	HEW5	aboveground_C	aboveground_C	138.302185	4444	4444	4444
AEW35	AEW35	aboveground_C	aboveground_C	23.62646166	4444	4444	4444
HEW42	HEW42	aboveground_C	aboveground_C	222.0692914	4444	4444	4444
SEW41	SEW41	aboveground_C	aboveground_C	113.767065	4444	4444	4444
SEW21	SEW21	aboveground_C	aboveground_C	109.1851331	4444	4444	4444
AEW13	AEW13	aboveground_C	aboveground_C	184.3087364	4444	4444	4444
HEW41	HEW41	aboveground_C	aboveground_C	171.157423	4444	4444	4444
SEW34	SEW34	aboveground_C	aboveground_C	105.6217965	4444	4444	4444
HEW10	HEW10	aboveground_C	aboveground_C	161.8321542	4444	4444	4444
SEW20	SEW20	aboveground_C	aboveground_C	77.51866613	4444	4444	4444
HEW11	HEW11	aboveground_C	aboveground_C	195.1982837	4444	4444	4444
SEW15	SEW15	aboveground_C	aboveground_C	101.2077744	4444	4444	4444
SEW01	SEW1	aboveground_C	aboveground_C	82.03071779	4444	4444	4444
AEW32	AEW32	aboveground_C	aboveground_C	72.41522518	4444	4444	4444
AEW31	AEW31	aboveground_C	aboveground_C	112.9640015	4444	4444	4444
AEW50	AEW50	aboveground_C	aboveground_C	150.4426875	4444	4444	4444
SEW04	SEW4	aboveground_C	aboveground_C	142.5422036	4444	4444	4444
SEW31	SEW31	aboveground_C	aboveground_C	112.4765024	4444	4444	4444
HEW14	HEW14	aboveground_C	aboveground_C	36.55310105	4444	4444	4444
AEW01	AEW1	aboveground_N	aboveground_N	0.829679661	4444	4444	4444
HEW17	HEW17	aboveground_N	aboveground_N	0.296418112	4444	4444	4444
AEW22	AEW22	aboveground_N	aboveground_N	0.643956398	4444	4444	4444
HEW26	HEW26	aboveground_N	aboveground_N	0.810563996	4444	4444	4444
AEW39	AEW39	aboveground_N	aboveground_N	0.499548034	4444	4444	4444
